"DRUN","H","H2","H2O","H2O2","HO2","N2","O","O2","OH","PRUN","RRTE_H","RRTE_H2","RRTE_H2O","RRTE_H2O2","RRTE_HO2","RRTE_N2","RRTE_O","RRTE_O2","RRTE_OH","TRUN","URUN","VRUN","WRUN","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.1533582892,4.996663601e-05,0.0002783424055,0.1743462343,2.524057934e-06,7.743429906e-06,0.8655578265,0.00108723641,0.06882404811,0.004180848317,100000.1172,-0.08816511947,-0.2256351778,3.354274717,-0.001774409954,-0.003861379973,0,-0.7402959647,-1.297059005,-0.9974837222,1813.255265,5.009523946,0,0,1,0.002659999998,0.002659999998,0,0
0.1533157295,4.938748984e-05,0.0002763189246,0.174381383,2.503561429e-06,7.697459708e-06,0.8655605828,0.001079060806,0.06881013362,0.004168602647,100000.1172,-0.08651024661,-0.2227800198,3.311133149,-0.001748885087,-0.00381885919,0,-0.7307167387,-1.272846462,-0.9927120192,1813.809089,5.010887158,0,0,1,0.002669999842,0.002669999842,0,0
0.1532737792,4.881786485e-05,0.0002743187109,0.1744161226,2.483345474e-06,7.651973446e-06,0.8655633233,0.001070984812,0.06879646987,0.004156419369,100000.1172,-0.08489484423,-0.2199720081,3.268765176,-0.001723869392,-0.003777020579,0,-0.7213062363,-1.249163105,-0.987928026,1814.355578,5.012231347,0,0,1,0.002679999918,0.002679999918,0,0
0.1532324181,4.825757974e-05,0.000272341481,0.1744504339,2.463405212e-06,7.606964818e-06,0.8655660201,0.001063007245,0.06878305597,0.004144298758,100000.1172,-0.08331783927,-0.2172103002,3.227154426,-0.001699351121,-0.003735850259,0,-0.7120610462,-1.225996167,-0.9831339588,1814.89474,5.013557762,0,0,1,0.002689999994,0.002689999994,0,0
0.1531916378,4.77064293e-05,0.0002703868797,0.1744843539,2.443735426e-06,7.562427177e-06,0.865568701,0.001055126324,0.06876988032,0.004132241024,100000.1172,-0.08177808999,-0.2144939572,3.186283393,-0.001675317321,-0.003695332697,0,-0.7029774165,-1.203331637,-0.9783316865,1815.426793,5.014866066,0,0,1,0.002699999837,0.002699999837,0,0
0.1531514332,4.716421028e-05,0.0002684544854,0.1745178769,2.424330256e-06,7.518351709e-06,0.8655713223,0.001047340225,0.06875695,0.00412024522,100000.1115,-0.08027449483,-0.2118219732,3.146134159,-0.001651755228,-0.003655452297,0,-0.6940514795,-1.181156046,-0.9735229283,1815.951664,5.016156647,0,0,1,0.002709999913,0.002709999913,0,0
0.1531117876,4.663074645e-05,0.0002665440229,0.1745510085,2.405185455e-06,7.474732834e-06,0.865573884,0.001039647668,0.06874424508,0.004108311616,100000.1094,-0.07880605176,-0.2091935767,3.106691378,-0.001628653812,-0.003616195908,0,-0.6852800522,-1.159457275,-0.9687095684,1816.469669,5.01743007,0,0,1,0.002719999989,0.002719999989,0,0
0.1530726787,4.610586324e-05,0.0002646551976,0.1745837526,2.386296286e-06,7.431564068e-06,0.8655764023,0.001032047074,0.0687317711,0.004096440423,100000.1094,-0.0773717838,-0.2066079054,3.067939561,-0.001606001902,-0.00357755036,0,-0.6766598305,-1.138223182,-0.9638933247,1816.980958,5.018686323,0,0,1,0.002729999833,0.002729999833,0,0
0.1530341196,4.558936255e-05,0.0002627875795,0.1746161211,2.367656995e-06,7.388837071e-06,0.8655789045,0.001024536688,0.06871952014,0.004084630953,100000.1094,-0.07597065812,-0.2040640249,3.029861892,-0.001583787493,-0.003539500742,0,-0.6681871028,-1.117441184,-0.9590755505,1817.485519,5.019925803,0,0,1,0.002739999909,0.002739999909,0,0
0.1529960822,4.508108889e-05,0.0002609409585,0.1746481062,2.349264123e-06,7.346547331e-06,0.865581347,0.00101711541,0.06870748727,0.004072883087,100000.1094,-0.074601809,-0.2015612198,2.992444633,-0.001562000746,-0.003502035444,0,-0.6598591003,-1.097100544,-0.9542579596,1817.983574,5.021149196,0,0,1,0.002749999985,0.002749999985,0,0
0.1529585701,4.458086954e-05,0.0002591149607,0.1746797297,2.331112598e-06,7.304687704e-06,0.8655837464,0.001009781656,0.06869566828,0.004061197167,100000.1094,-0.07326430719,-0.1990986438,2.955672954,-0.001540630903,-0.003465141797,0,-0.6516725331,-1.077189693,-0.9494419032,1818.475163,5.0223566,0,0,1,0.002759999828,0.002759999828,0,0
0.1529215592,4.408852638e-05,0.0002573092467,0.1747109967,2.313197676e-06,7.263250804e-06,0.8655861294,0.001002533754,0.06868405947,0.004049572381,100000.1094,-0.07195724459,-0.1966754511,2.919531363,-0.001519667331,-0.003428806203,0,-0.6436241528,-1.057697475,-0.9446286175,1818.960545,5.023548312,0,0,1,0.002769999905,0.002769999905,0,0
0.1528850477,4.360390932e-05,0.0002555235559,0.1747419064,2.295515304e-06,7.22223138e-06,0.8655884098,0.0009953705645,0.06867265162,0.004038009003,100000.1094,-0.07067981211,-0.1942909178,2.884007089,-0.001499100653,-0.00339301797,0,-0.6357112193,-1.038613528,-0.9398195139,1819.439584,5.024724303,0,0,1,0.002779999981,0.002779999981,0,0
0.1528490179,4.312687729e-05,0.0002537576418,0.1747724728,2.278062014e-06,7.181625189e-06,0.8655907332,0.0009882910179,0.06866144714,0.004026506572,100000.1016,-0.06943122742,-0.1919443734,2.849087596,-0.001478921952,-0.003357766555,0,-0.6279309604,-1.019928373,-0.935015909,1819.912689,5.025885016,0,0,1,0.002789999824,0.002789999824,0,0
0.1528134699,4.265724826e-05,0.0002520111086,0.1748026936,2.26083235e-06,7.141423653e-06,0.8655929971,0.0009812931296,0.06865044331,0.004015064609,100000.1016,-0.06821061996,-0.1896349364,2.814757468,-0.00145912059,-0.003323038428,0,-0.6202802106,-1.001630906,-0.9302186975,1820.37971,5.027030997,0,0,1,0.0027999999,0.0027999999,0,0
0.1527784031,4.21948943e-05,0.0002502837684,0.1748325715,2.243823198e-06,7.101622547e-06,0.8655952013,0.0009743762327,0.06863962572,0.00400368391,100000.1016,-0.06701729167,-0.1873620094,2.781005872,-0.001439688616,-0.003288824661,0,-0.6127565218,-0.9837123809,-0.9254291572,1820.840904,5.028162534,0,0,1,0.002809999976,0.002809999976,0,0
0.1527437864,4.17396572e-05,0.0002485752516,0.1748621223,2.22703029e-06,7.06221509e-06,0.8655974224,0.0009675385999,0.06862900359,0.003992363029,100000.1016,-0.06585045433,-0.1851247934,2.747819162,-0.001420616661,-0.00325511331,0,-0.605357049,-0.9661628528,-0.9206482585,1821.296393,5.029279323,0,0,1,0.002820000052,0.002820000052,0,0
0.1527096171,4.129141451e-05,0.0002468853732,0.174891345,2.210450046e-06,7.023197608e-06,0.865599567,0.0009607792842,0.06861856567,0.003981102554,100000.1016,-0.06470944572,-0.1829227083,2.715186522,-0.001401896883,-0.003221895427,0,-0.5980793502,-0.9489739852,-0.915877145,1821.746086,5.030382272,0,0,1,0.002829999896,0.002829999896,0,0
0.1526759085,4.085000263e-05,0.0002452137683,0.1749202409,2.194078162e-06,6.984562633e-06,0.8656017118,0.0009540967916,0.06860830825,0.003969901362,100000.1016,-0.06359351439,-0.1807549778,2.683094527,-0.001383520091,-0.003189159466,0,-0.5909206885,-0.9321361508,-0.9111165206,1822.190356,5.031471297,0,0,1,0.002839999972,0.002839999972,0,0
0.1526426319,4.041530315e-05,0.0002435602319,0.174948824,2.1779114e-06,6.946305953e-06,0.8656037542,0.0009474901618,0.06859822953,0.003958760255,100000.1016,-0.06250202754,-0.1786210128,2.651532828,-0.001365479024,-0.003156896825,0,-0.5838787478,-0.9156412424,-0.906367421,1822.629047,5.0325465,0,0,1,0.002850000048,0.002850000048,0,0
0.1526097768,3.998718944e-05,0.0002419245248,0.1749771046,2.161946447e-06,6.908422552e-06,0.8656058394,0.0009409581964,0.0685883243,0.003947678746,100000.1016,-0.06143434596,-0.176520179,2.620490365,-0.001347765797,-0.003125098144,0,-0.5769511461,-0.8994812096,-0.9016306671,1823.062453,5.033608346,0,0,1,0.002859999891,0.002859999891,0,0
0.1525773532,3.956552322e-05,0.0002403063427,0.1750050579,2.146179229e-06,6.870906934e-06,0.8656078649,0.0009344996209,0.06857858806,0.003936656041,100000.096,-0.06038980879,-0.1744518084,2.589955862,-0.001330372551,-0.003093753509,0,-0.5701354497,-0.8836475583,-0.8969070833,1823.490496,5.034656863,0,0,1,0.002869999968,0.002869999968,0,0
0.152545331,3.915017181e-05,0.0002387054231,0.1750327183,2.130606483e-06,6.83375342e-06,0.8656098309,0.0009281132939,0.06856902499,0.003925691903,100000.0938,-0.05936779691,-0.1724152755,2.559917945,-0.001313291818,-0.003062853754,0,-0.5634292056,-0.8681322861,-0.8921972267,1823.913389,5.035692874,0,0,1,0.002880000044,0.002880000044,0,0
